timestamp,CPU_0(group_0),CPU_2(group_1),CPU_4(group_1),CPU_6(group_1),CPU_8(group_1),CPU_10(group_1),CPU_12(group_2),CPU_14(group_3),CPU_16(group_3),CPU_18(group_3),CPU_20(group_3),CPU_22(group_3),CPU_24(group_3),CPU_26(group_4),CPU_28(group_5),CPU_64(group_0),CPU_66(group_1),CPU_68(group_1),CPU_70(group_1),CPU_72(group_1),CPU_74(group_1),CPU_76(group_2),CPU_78(group_3),CPU_80(group_3),CPU_82(group_3),CPU_84(group_3),CPU_86(group_3),CPU_88(group_3),CPU_90(group_4),CPU_92(group_5)
1768747910.627739,12.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,11.1,13.4,0.0,18.0,9.0,2.0,100.0,2.0,0.0,2.0,1.0,2.0,1.0,21.2,0.0,1.0,1.0,3.0,2.0,0.0,0.0,100.0
1768747911.6322393,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.0,0.0,3.1,8.0,1.0,100.0,0.0,0.0,1.0,0.0,6.1,0.0,9.1,0.0,0.0,3.0,0.0,1.0,0.0,0.0,100.0
1768747912.6366854,13.5,0.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,9.0,100.0,0.0,0.0,1.0,0.0,7.1,0.0,4.1,0.0,0.0,1.0,0.0,1.0,2.0,0.0,100.0
1768747913.6400857,9.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,8.1,2.0,0.0,4.0,100.0,2.0,0.0,2.0,1.0,4.0,0.0,7.1,0.0,0.0,4.0,2.0,2.0,1.0,0.0,100.0
1768747914.6441412,16.5,0.0,0.0,1.0,3.1,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,100.0,2.0,0.0,1.0,1.0,0.0,1.0,13.1,1.0,0.0,1.0,4.0,0.0,0.0,2.0,100.0
1768747915.6479487,11.7,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,2.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,100.0
1768747916.6523063,11.0,2.0,2.0,0.0,11.1,3.0,1.0,2.0,6.1,3.0,2.0,2.0,2.0,2.0,100.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,3.0,2.9,2.0,4.0,2.0,9.2,1.0,100.0
1768747917.6553185,14.6,11.0,8.1,8.1,1.0,3.1,0.0,0.0,2.0,0.0,0.0,1.0,12.2,12.1,100.0,1.0,1.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
1768747918.6594536,10.9,17.5,3.1,10.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,19.4,100.0,1.0,0.0,0.0,1.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,100.0
1768747919.6635118,12.5,17.3,0.0,3.0,1.0,0.0,0.0,12.1,1.0,0.0,0.0,1.0,17.2,5.0,100.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,100.0
1768747920.668486,13.9,1.0,1.0,2.0,0.0,6.1,1.0,0.0,0.0,0.0,1.0,0.0,11.2,3.0,100.0,3.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0
1768747921.6723769,11.7,0.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,8.2,0.0,1.0,7.9,0.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,100.0
1768747922.6771507,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0
1768747923.7434807,7.1,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.1,0.0,1.0,8.1,2.0,100.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
1768747924.8935506,9.1,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,12.1,0.0,1.0,7.1,0.0,100.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,100.0
1768747925.8981047,8.2,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,16.2,2.0,2.0,7.2,1.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,100.0
1768747926.9013097,8.2,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,7.1,2.0,2.1,18.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0
1768747927.9058383,3.3,0.0,0.0,3.1,3.0,0.0,0.0,0.0,0.0,8.2,1.0,3.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,100.0
1768747928.9092994,9.1,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,9.3,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768747929.9127767,10.0,0.0,0.0,3.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768747930.9173167,10.1,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,6.9,0.0,2.0,2.0,0.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
1768747931.9219356,8.2,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768747932.9255466,9.1,0.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,13.1,0.0,1.0,2.0,1.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768747933.9299595,13.3,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,100.0
1768747934.9337692,14.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
1768747935.9372363,9.8,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,7.1,1.0,4.1,1.0,0.0,100.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0
1768747936.9407966,13.3,0.0,0.0,2.0,4.0,1.0,2.0,1.0,2.0,4.0,0.0,2.0,10.1,0.0,100.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768747937.9451382,12.6,0.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,100.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
1768747938.9484808,12.5,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.1,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768747939.9524484,12.6,0.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
1768747940.9572725,12.6,0.0,0.0,1.0,1.0,7.1,1.0,0.0,0.0,7.1,0.0,1.0,8.2,1.0,100.0,0.0,1.0,4.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768747941.9620764,11.8,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,10.1,0.0,3.0,5.1,2.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1768747942.9655292,10.1,0.0,0.0,3.1,2.0,17.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0
1768747943.9692483,11.8,0.0,1.0,1.0,1.0,10.2,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0
1768747944.9718146,16.5,0.0,0.0,1.0,0.0,14.1,2.0,2.0,0.0,7.1,3.0,2.0,1.0,1.0,100.0,2.0,1.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0
1768747945.9736848,12.4,0.0,0.0,2.0,0.0,5.1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768747946.9766734,10.8,0.0,1.0,2.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768747947.9788885,10.8,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,100.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
1768747948.9823182,15.7,1.0,0.0,2.0,1.0,7.1,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,100.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0
