timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_0),CPU_66(group_0),CPU_4(group_0),CPU_68(group_0),CPU_6(group_0),CPU_70(group_0),CPU_8(group_0),CPU_72(group_0),CPU_10(group_0),CPU_74(group_0),CPU_12(group_0),CPU_76(group_0),CPU_14(group_0),CPU_78(group_0),CPU_16(group_0),CPU_80(group_0),CPU_18(group_0),CPU_82(group_0),CPU_20(group_0),CPU_84(group_0)
1770631255.0189278,52.0,50.0,55.9,46.5,59.4,48.0,51.0,51.0,41.2,53.9,45.1,43.0,58.8,40.2,51.5,45.5,45.0,45.0,43.6,51.0,49.5,41.6
1770631256.019022,51.0,53.9,41.2,57.3,55.4,35.6,45.5,53.0,38.0,46.1,47.5,49.5,47.5,52.0,53.9,46.1,42.7,45.5,47.6,47.1,46.1,45.5
1770631257.0221298,50.5,42.0,43.7,50.5,41.7,49.5,45.5,52.9,45.1,51.0,43.3,40.6,43.0,45.0,46.1,53.5,43.1,50.0,53.5,43.3,46.0,52.0
1770631258.0222056,44.0,42.7,37.6,43.1,46.6,37.6,37.6,43.1,40.2,35.0,43.0,43.6,35.9,32.0,42.2,41.0,42.6,41.2,42.2,34.7,43.3,35.3
1770631259.022272,47.1,43.6,47.5,42.6,48.5,47.1,47.0,46.1,36.6,44.6,39.8,42.7,39.2,41.6,46.5,37.9,33.3,36.0,41.2,39.6,46.5,38.2
1770631260.022353,49.5,40.2,36.3,35.0,40.8,43.1,36.9,44.1,39.2,40.2,40.6,31.7,57.4,39.6,44.1,34.3,42.2,32.7,35.0,43.1,48.5,37.6
1770631261.0224273,54.9,39.6,37.4,40.0,37.6,49.5,35.6,38.0,38.0,39.0,49.0,41.6,44.6,39.8,37.3,46.5,37.0,41.2,40.8,43.0,46.5,53.9
1770631262.0232687,50.0,42.0,45.5,37.9,53.5,51.0,44.6,52.0,46.1,38.0,52.0,45.5,49.5,47.0,48.5,49.0,46.0,48.0,44.1,46.6,49.5,37.6
1770631263.023589,48.0,52.9,42.2,49.0,44.6,44.1,35.4,47.6,58.0,47.1,40.4,46.1,48.0,37.3,43.1,54.4,46.5,48.5,43.0,52.0,45.1,46.1
1770631264.0246203,40.6,40.6,40.2,47.1,45.0,41.2,39.2,39.6,45.0,40.2,52.9,38.2,42.6,30.7,46.6,42.2,44.1,39.8,43.7,39.0,45.5,50.0
1770631265.0247002,35.6,47.1,33.7,46.1,40.2,40.2,38.2,43.0,32.7,36.3,37.0,35.3,43.6,42.7,44.6,25.7,38.6,38.0,42.0,37.6,42.7,33.3
1770631266.0258524,48.0,45.6,36.0,35.0,31.7,45.0,27.5,38.8,34.3,27.5,39.8,31.7,50.0,37.0,23.5,23.8,42.6,42.0,37.9,28.4,34.3,38.2
1770631267.0261316,47.5,34.0,43.1,35.6,34.7,33.7,26.5,41.6,38.6,34.0,30.0,41.2,32.7,38.6,33.0,44.1,44.1,37.9,42.3,39.2,29.4,35.6
1770631268.0262134,44.0,40.0,47.1,48.5,42.2,44.6,39.4,40.2,40.0,40.6,43.6,36.3,42.6,42.2,48.0,48.0,41.4,38.0,52.0,43.0,41.6,39.2
1770631269.0272927,38.4,31.0,29.7,42.2,39.6,32.0,32.7,38.6,33.7,34.3,34.0,28.7,42.7,39.2,32.4,38.0,29.1,30.7,35.0,33.3,30.4,34.3
1770631270.027433,39.2,37.6,29.0,45.6,39.2,31.7,44.7,44.6,36.5,32.7,42.2,29.7,29.7,34.3,34.7,48.1,42.2,45.1,42.0,32.4,32.0,50.0
1770631271.0278683,38.6,30.1,47.1,43.0,33.7,32.7,41.2,46.5,45.5,36.3,36.3,35.0,40.6,40.2,33.3,29.7,34.3,46.5,37.6,44.6,31.7,46.5
1770631272.0279365,50.0,44.6,35.6,44.1,37.6,35.3,43.6,44.7,43.6,44.1,46.5,41.6,48.5,50.5,40.8,42.2,32.7,51.0,39.6,48.0,48.0,47.1
1770631273.0282366,43.6,50.0,43.6,42.2,34.3,38.2,33.0,49.0,40.8,46.6,43.3,42.2,58.3,41.6,42.6,46.5,30.7,37.6,47.5,45.5,43.1,48.5
1770631274.0315135,47.0,58.3,37.6,41.7,33.3,48.0,44.1,38.2,46.5,48.0,48.5,39.2,50.5,52.0,47.5,36.0,41.3,41.2,51.5,47.1,49.5,40.0
1770631275.031747,35.0,48.0,37.0,43.6,41.6,41.6,39.6,45.0,48.0,61.8,40.4,45.5,52.9,43.1,46.0,56.3,45.0,43.7,55.9,45.5,36.3,40.2
1770631276.0318136,51.5,45.1,53.4,46.1,38.0,52.9,45.0,48.0,52.5,57.0,37.0,48.0,38.0,45.1,49.0,44.6,48.5,42.2,42.6,53.0,59.6,40.2
1770631277.031879,53.5,46.1,52.5,53.0,55.4,46.6,42.0,55.4,42.2,55.9,47.5,52.0,45.5,45.1,42.0,55.4,52.5,43.6,49.0,46.5,49.0,47.5
1770631278.0319521,51.5,46.5,41.0,48.0,41.2,36.6,47.6,48.5,47.5,44.7,47.5,41.4,54.9,37.0,40.8,41.6,44.1,49.0,44.6,42.7,45.5,46.5
1770631279.0320182,44.9,48.5,40.2,46.5,46.5,40.0,39.6,45.5,47.5,54.0,47.5,43.7,50.5,47.5,40.2,45.0,41.0,42.6,45.6,41.0,41.6,40.6
1770631280.0323033,47.6,49.5,50.5,48.5,51.0,42.6,45.5,48.5,47.0,47.0,52.5,44.6,51.0,45.0,43.9,57.8,42.2,46.0,45.5,46.0,41.2,49.0
1770631281.0325317,41.0,53.5,35.0,46.0,37.6,37.6,40.0,40.2,40.8,46.1,41.0,48.0,43.0,46.1,41.2,46.5,47.5,46.1,52.0,47.1,49.5,42.6
1770631282.033233,32.0,29.4,32.0,38.8,42.6,39.4,51.5,42.7,39.6,39.6,46.1,38.6,41.6,37.4,39.2,35.6,41.0,42.0,50.0,42.6,42.6,34.0
1770631283.0333207,37.3,33.7,49.5,44.4,54.0,45.0,48.5,39.8,43.1,47.5,33.3,38.6,38.6,41.2,33.0,36.0,45.5,44.1,45.6,52.5,40.2,39.8
1770631284.0337138,37.3,35.9,41.7,53.5,40.2,42.6,35.3,34.7,39.2,41.3,36.3,43.1,38.2,39.8,30.4,44.7,40.8,45.6,31.7,40.2,30.7,45.5
1770631285.0337808,44.6,47.5,36.0,46.5,51.0,48.5,38.6,39.0,39.2,46.5,44.6,39.8,40.6,39.6,40.2,35.6,40.2,39.6,50.5,48.5,41.0,44.0
1770631286.0338633,48.5,43.6,57.4,52.5,45.5,50.0,51.5,48.0,39.2,48.5,46.5,48.5,45.6,57.3,43.6,47.0,50.5,46.1,48.0,44.6,48.0,46.1
1770631287.0340004,50.5,55.4,53.5,48.5,43.6,47.5,36.0,51.5,49.0,46.1,43.1,58.8,53.5,49.0,44.6,47.5,41.2,49.5,51.0,54.5,53.9,36.9
1770631288.0340755,55.9,49.5,45.6,52.4,42.6,45.1,48.0,50.5,48.5,48.5,43.6,57.8,48.5,52.5,47.5,43.1,46.5,46.5,42.6,46.5,53.4,49.0
1770631289.0344563,49.5,50.5,52.5,47.0,41.0,58.4,52.0,45.1,50.5,59.8,51.0,59.0,49.0,49.0,51.5,49.0,48.5,51.0,53.9,50.0,51.0,44.0
1770631290.0347116,61.0,53.4,48.0,55.9,46.6,51.0,42.0,49.0,42.6,50.5,50.5,49.5,44.7,48.0,42.6,43.6,47.1,48.0,49.0,51.5,46.6,47.1
